product_id,product_handle,product_title,variant_id,variant_title,price_set_id,currency_code,current_amount,approved_amount,operation,approval_status,backup_timestamp
prod_01KXJNH57CMPRBEVGSAMB30EMF,chocolate-mrly26sk,chocolate,variant_01KXJNH5ASR8XNZ9QSW29B8SJ7,Standard,pset_01KXJNH5CWVAHEM1T50GHQKYD4,cad,2200,22,CAD_UPDATE,approved,2026-07-21T08-13-32-231Z
prod_01KXJNH57CMPRBEVGSAMB30EMF,chocolate-mrly26sk,chocolate,variant_01KXJNH5ASR8XNZ9QSW29B8SJ7,Standard,pset_01KXJNH5CWVAHEM1T50GHQKYD4,usd,,16.99,USD_CREATE,approved,2026-07-21T08-13-32-231Z
prod_01KVSFB71XDNGFJN01RH3C2G1M,organic-apples,Organic Apples,variant_01KVSFB75GZJ4N0B9SY6BXDTZC,Standard,pset_01KVSFB77YEM556Y6A0PQTJJ4Q,cad,499,4.99,CAD_UPDATE,approved,2026-07-21T08-13-32-231Z
prod_01KVSFB71XDNGFJN01RH3C2G1M,organic-apples,Organic Apples,variant_01KVSFB75GZJ4N0B9SY6BXDTZC,Standard,pset_01KVSFB77YEM556Y6A0PQTJJ4Q,usd,,3.99,USD_CREATE,approved,2026-07-21T08-13-32-231Z
prod_01KWW11N9K4XYTK17K7DKTSBX0,organic-oil-mr9drod0,Organic OIL,variant_01KWW11NCJY9SGGGPJ5D7WB4FR,Standard,pset_01KWW11NEFZG6YE7XHT4W1GHDE,cad,2500,25,CAD_UPDATE,approved,2026-07-21T08-13-32-231Z
prod_01KWW11N9K4XYTK17K7DKTSBX0,organic-oil-mr9drod0,Organic OIL,variant_01KWW11NCJY9SGGGPJ5D7WB4FR,Standard,pset_01KWW11NEFZG6YE7XHT4W1GHDE,usd,,18.99,USD_CREATE,approved,2026-07-21T08-13-32-231Z
